N,P,K,temperature,humidity,ph,label
40,16,35,34.16439,54.16482,4.95474,mango
29,35,28,28.34716,53.53903,6.967418,mango
18,20,26,31.66525,51.98595,5.435841,mango
29,34,26,33.88005,54.39416,6.273954,mango
11,34,32,29.14305,49.40983,6.831707,mango
9,38,25,34.58561,50.34035,5.497947,mango
18,19,27,27.75519,52.34606,4.772386,mango
8,37,33,28.07803,54.96405,6.128168,mango
20,19,35,34.1772,50.62162,6.113935,mango
15,27,28,33.80399,46.12866,4.507524,mango
37,36,26,32.893,52.61324,4.650536,mango
23,24,32,28.12181,46.16889,5.63062,mango
34,38,31,35.37776,45.5811,6.454045,mango
26,35,31,33.4462,53.0598,5.339557,mango
39,24,31,33.55696,53.7298,4.757115,mango
12,19,31,27.25373,52.6632,5.566704,mango
2,36,31,30.90225,49.95955,5.731719,mango
23,23,30,32.82141,47.45554,4.755274,mango
23,23,27,34.72413,51.42718,5.161149,mango
8,38,32,29.75151,46.73723,4.981817,mango
25,22,25,33.5615,45.53557,5.977414,mango
11,36,31,27.92063,51.77966,6.475449,mango
24,33,35,29.26383,54.82258,5.342866,mango
14,18,35,31.09154,47.02058,4.791147,mango
2,24,34,28.89409,54.8075,6.472775,mango
1,29,29,27.32961,49.30347,6.052026,mango
12,34,28,33.3614,45.02236,6.135269,mango
36,26,26,30.17294,51.08459,6.81463,mango
3,18,31,31.65333,48.20663,6.392314,mango
0,36,26,34.13072,51.25786,5.101206,mango
33,29,34,31.40949,49.21729,6.83298,mango
21,21,30,27.69819,51.41593,5.403908,mango
30,28,30,31.86641,52.19332,5.064613,mango
22,18,33,30.41236,52.48101,6.621624,mango
4,40,26,27.58259,48.56916,6.720042,mango
12,31,26,35.78777,51.9419,5.395276,mango
26,24,34,31.27181,52.2381,6.811291,mango
11,36,33,35.9901,52.2278,5.978634,mango
21,31,32,35.38599,51.42664,5.254532,mango
22,38,31,31.53356,53.06009,5.821106,mango
4,20,25,28.9327,47.94054,5.664587,mango
31,20,30,32.17752,54.01353,6.207496,mango
5,32,33,32.32362,52.58968,5.842764,mango
34,16,25,30.07203,50.96041,6.107296,mango
26,32,32,30.91471,49.92964,6.810186,mango
40,16,35,31.89356,49.0245,6.484152,mango
2,38,33,32.38698,53.23282,4.691396,mango
28,27,34,32.45465,50.69694,6.526654,mango
35,18,26,31.9949,50.84881,5.279389,mango
37,36,27,27.55297,47.90859,5.910635,mango
26,18,30,32.06097,51.08494,6.336235,mango
33,31,34,31.32996,50.22288,5.421265,mango
19,55,20,27.43329,87.80508,7.185301,mungbean
31,40,22,29.40889,86.16063,6.365514,mungbean
17,52,17,27.88353,86.45148,6.364967,mungbean
19,35,24,27.1103,83.64274,6.883308,mungbean
9,57,24,29.89233,89.71503,7.165121,mungbean
27,40,24,27.84027,89.99616,7.063022,mungbean
21,39,20,28.14449,82.1193,7.064782,mungbean
10,59,22,28.60901,86.99496,7.155685,mungbean
21,44,18,27.0691,86.89934,7.128511,mungbean
34,35,21,28.44525,82.6764,6.684381,mungbean
19,39,17,29.28086,81.80092,6.890156,mungbean
36,43,21,28.36319,84.85936,7.140438,mungbean
20,40,15,29.57329,88.07506,7.199495,mungbean
11,60,23,27.33684,88.50229,7.033013,mungbean
20,45,22,29.58882,89.99397,6.904587,mungbean
2,38,18,27.53633,89.92908,6.619891,mungbean
34,47,19,27.31373,85.44815,6.568795,mungbean
25,40,21,27.73329,81.13903,6.248901,mungbean
26,54,17,28.54741,88.95705,6.272588,mungbean
38,36,21,28.02953,84.88457,6.556373,mungbean
39,37,15,28.99731,83.78912,6.821747,mungbean
9,35,20,27.41503,80.98005,6.913809,mungbean
11,46,24,27.6528,89.80651,6.459252,mungbean
13,47,20,29.2178,87.93724,6.544502,mungbean
20,41,20,29.27309,89.4875,7.073048,mungbean
21,51,15,29.36488,89.1887,6.679127,mungbean
6,48,24,28.63628,84.61431,6.790736,mungbean
1,48,24,29.34595,85.60473,6.232837,mungbean
22,56,17,29.87888,87.32761,6.89078,mungbean
24,44,17,29.85969,80.035,6.666381,mungbean
35,48,15,27.10818,87.45127,6.981758,mungbean
33,37,19,27.92679,86.55432,7.18319,mungbean
30,37,25,29.89129,80.14487,7.120032,mungbean
37,49,25,29.91454,85.85384,6.41546,mungbean
31,53,16,28.74201,85.81676,6.452006,mungbean
37,50,23,29.65297,88.48587,6.530471,mungbean
28,46,16,29.00812,84.96089,6.664188,mungbean
10,37,22,28.72753,89.1276,7.069748,mungbean
19,53,22,27.86401,80.45131,6.852885,mungbean
10,56,16,28.17433,81.04555,6.828187,mungbean
9,48,22,27.77076,87.0998,6.402926,mungbean
31,51,25,27.53593,85.57019,7.196774,mungbean
4,40,21,28.79728,80.45744,6.725551,mungbean
17,58,20,28.06643,85.91625,6.429379,mungbean
36,55,20,27.0147,84.34263,6.635969,mungbean
24,53,17,28.95451,89.07866,6.421271,mungbean
30,44,16,29.73013,82.89166,6.442336,mungbean
40,58,15,29.46416,87.6089,6.9784,mungbean
21,38,21,29.75539,86.45193,6.637677,mungbean
27,56,20,29.21142,87.11498,6.418743,mungbean
31,37,21,27.23925,86.40424,6.713411,mungbean
35,41,18,28.70563,81.59201,6.705009,mungbean
13,57,25,28.30041,86.20682,6.863086,mungbean
32,56,21,27.38539,88.66664,6.702772,mungbean
6,47,18,29.16175,80.28038,6.715277,mungbean
22,37,20,27.62749,86.49367,6.605733,mungbean
31,58,15,27.11026,84.96772,7.121571,mungbean
8,50,21,28.62911,89.11481,6.218924,mungbean
23,45,23,28.77654,86.69134,6.98313,mungbean
2,47,15,29.8686,85.99128,6.401456,mungbean
36,38,15,28.36364,87.59811,6.320662,mungbean
4,41,20,28.14721,83.80015,6.647966,mungbean
10,59,15,29.8304,89.30428,6.324005,mungbean
14,41,17,29.1294,88.48313,7.085982,mungbean
28,35,22,29.53038,86.73346,7.156563,mungbean
1,59,23,27.46853,87.17649,7.184399,mungbean
34,60,25,29.78417,85.16907,6.793856,mungbean
20,45,17,28.17459,83.69659,6.770955,mungbean
40,51,17,28.66086,86.12195,6.860603,mungbean
24,42,23,28.22471,82.35916,6.428054,mungbean
7,60,25,28.27532,82.76021,6.397637,mungbean
8,54,20,28.33404,80.77276,7.034214,mungbean
22,54,20,28.5615,83.63802,6.689825,mungbean
23,39,22,29.25649,81.97952,6.864839,mungbean
33,57,17,27.89636,88.71782,6.784153,mungbean
33,60,15,28.95172,81.67085,6.510841,mungbean
4,44,19,27.9564,83.52706,6.921994,mungbean
14,37,15,27.96236,83.97587,6.581351,mungbean
29,36,25,28.28512,88.4394,7.130279,mungbean
6,37,17,28.08657,80.35006,6.760694,mungbean
28,45,23,29.65021,80.29868,6.489259,mungbean
0,49,18,29.68362,87.93598,6.990095,mungbean
36,43,22,27.82684,87.16679,6.389882,mungbean
23,59,25,27.82626,88.731,6.320768,mungbean
31,48,17,28.88079,86.94207,6.594739,mungbean
5,45,21,28.36291,88.00989,6.487124,mungbean
29,45,16,28.43683,87.91333,6.583382,mungbean
8,45,18,27.93035,85.42059,7.011031,mungbean
34,59,23,28.56212,83.24856,6.935804,mungbean
25,48,21,28.4381,83.48991,6.267684,mungbean
14,57,15,29.8757,83.14796,6.623438,mungbean
4,59,25,27.68515,81.94269,6.227134,mungbean
9,48,20,29.66462,84.28188,6.377569,mungbean
2,39,15,28.0722,82.91165,6.478557,mungbean
34,45,21,28.18837,82.6063,6.28738,mungbean
32,57,22,28.68999,87.50437,6.769416,mungbean
4,36,22,27.60887,86.13316,7.01274,mungbean
35,52,19,27.10607,89.89593,6.698574,mungbean
25,59,19,29.06631,83.68692,6.62663,mungbean
14,48,21,29.24599,84.80084,6.991242,mungbean
89,47,38,25.52469,72.24851,6.002525,jute
95,57,41,23.24926,73.65347,6.434611,jute
80,52,39,26.41915,76.85691,7.165697,jute
87,44,43,23.87484,86.79261,6.718725,jute
90,39,37,24.81441,81.68689,6.861069,jute
63,41,45,25.29782,86.88705,7.121934,jute
90,59,35,24.25133,89.86454,7.098228,jute
77,48,36,25.86705,84.09985,7.360085,jute
67,60,38,24.79853,78.53037,7.162143,jute
82,35,44,26.96656,78.21048,6.239011,jute
81,36,38,23.76555,87.9833,6.334838,jute
75,36,44,23.28081,74.27607,6.613341,jute
75,41,35,24.97043,78.62698,6.856833,jute
62,59,41,24.22488,74.89465,7.175171,jute
84,55,38,26.87484,79.78725,6.956683,jute
66,58,35,23.56438,79.46283,7.321619,jute
82,40,45,26.21313,81.70476,6.667633,jute
81,40,45,25.76294,80.76238,6.427727,jute
61,41,35,24.97179,79.47558,6.842966,jute
60,58,37,26.13872,79.11889,6.067302,jute
61,41,44,24.36972,82.1132,6.537915,jute
82,48,36,25.79352,81.76904,6.352077,jute
64,53,38,26.24347,78.51064,6.855363,jute
71,54,35,26.63952,70.95706,7.311077,jute
82,46,41,23.32501,79.79609,6.581694,jute
88,52,39,23.92888,88.07112,6.880205,jute
74,49,38,23.3141,71.45091,7.488014,jute
70,43,40,24.35564,88.80391,6.17686,jute
70,38,35,24.39736,79.26862,7.014064,jute
90,40,39,25.72669,81.86172,6.626504,jute
84,38,43,26.57422,73.81995,7.261581,jute
80,45,42,23.14265,74.9974,7.380396,jute
67,46,44,26.82489,78.20393,7.093329,jute
74,40,40,25.13843,83.12054,6.38626,jute
73,43,42,26.58361,78.00775,6.3107,jute
78,46,42,23.095,78.4596,7.095413,jute
88,50,40,25.63215,79.95151,7.051822,jute
91,41,37,24.48556,83.2063,6.132571,jute
80,43,43,23.78756,74.36794,6.014572,jute
81,56,36,23.39606,72.60513,7.097586,jute
60,37,39,26.59105,82.94164,6.033485,jute
89,52,45,24.89326,77.01223,7.207457,jute
63,47,35,26.98582,89.05588,7.432768,jute
72,42,43,26.56767,80.90425,6.352771,jute
89,58,35,23.98652,82.09053,6.096839,jute
70,42,43,23.16815,76.66725,6.508343,jute
65,39,45,23.66805,70.89001,6.768001,jute
89,57,43,26.91515,73.19898,6.998787,jute
71,52,43,26.4755,73.96165,6.732826,jute
73,45,37,23.70467,74.63745,6.742688,jute
90,48,45,24.06476,71.31343,6.509175,jute
72,51,40,23.20684,74.09957,7.422318,jute
60,55,40,24.995,88.95693,7.02778,jute
90,50,44,26.91644,73.48656,6.253409,jute
89,52,42,23.09434,81.45139,6.141329,jute
69,47,40,25.37123,76.24037,6.130136,jute
63,37,43,23.41799,85.0864,6.661958,jute
72,41,36,24.09874,80.57227,6.187747,jute
76,44,45,25.48797,84.48236,6.740948,jute
77,51,44,23.25583,82.70159,7.124334,jute
86,39,43,26.14577,71.23691,6.432052,jute
87,48,38,23.8158,80.94024,7.161866,jute
75,56,44,25.27463,73.74596,6.109478,jute
84,37,42,25.49675,81.13449,6.691074,jute
60,55,36,26.12797,80.49173,7.132389,jute
62,49,37,24.21745,82.85284,7.479248,jute
100,56,40,26.38905,83.3124,7.433313,jute
82,35,35,25.49387,86.97061,7.299076,jute
100,35,36,25.31042,72.01364,6.346715,jute
72,41,36,26.50839,86.84264,6.065898,jute
67,55,44,26.28402,75.1464,7.251847,jute
89,41,38,23.12844,74.68323,6.344752,jute
84,40,43,25.01158,88.3313,7.228268,jute
79,45,43,25.71901,79.15532,7.171054,jute
76,54,45,24.29497,77.62976,6.176619,jute
91,38,36,26.5233,77.17332,7.287319,jute
69,57,35,24.30749,78.54341,6.186814,jute
77,55,43,25.49942,75.99988,6.663559,jute
71,56,37,23.18867,86.209,6.491506,jute
84,40,42,26.28306,73.35764,6.704274,jute
76,56,39,24.39459,89.89107,6.55113,jute
67,41,40,25.8488,87.81662,7.333143,jute
62,56,35,25.97826,81.6577,6.235358,jute
93,43,38,23.61475,86.1429,6.987333,jute
98,43,35,25.40786,76.44049,7.319952,jute
89,40,43,26.24532,72.97198,7.12405,jute
67,43,38,25.21623,70.8826,7.299305,jute
89,53,44,24.88693,71.91712,7.319735,jute
86,40,39,25.72101,88.16514,6.20746,jute
66,47,36,24.85441,74.4407,6.572561,jute
77,52,41,23.89069,83.46409,6.097294,jute
90,39,43,24.44744,82.28648,6.769346,jute
78,50,43,25.12418,85.72531,6.348441,jute
100,58,41,23.17403,87.88255,6.65877,jute
94,37,41,24.76345,87.06071,6.463539,jute
96,41,40,23.58419,72.00461,6.09006,jute
85,53,38,24.90076,73.84186,6.588017,jute
65,54,39,23.75092,71.14783,7.124572,jute
99,57,38,24.80625,82.09282,6.356296,jute
74,46,45,25.75735,88.36669,6.025029,jute
32,76,15,28.05154,63.49802,7.60411,lentil
10,56,18,27.99628,68.64286,7.32711,lentil
2,72,18,26.57598,60.97877,7.83672,lentil
9,56,17,26.13708,66.77292,6.261938,lentil
26,63,17,29.87855,65.73085,6.950301,lentil
12,80,19,21.91041,65.21662,5.962001,lentil
15,77,20,25.13164,66.92642,7.399749,lentil
37,77,20,25.93382,68.70533,7.080506,lentil
24,70,16,25.17885,68.93307,6.548035,lentil
4,59,19,26.2507,67.6278,7.621495,lentil
35,74,22,26.723,62.96842,6.898906,lentil
37,62,22,24.02038,61.62313,7.397546,lentil
34,73,15,20.97195,63.8318,7.630424,lentil
0,65,24,28.49584,62.44616,7.841496,lentil
21,63,17,25.08966,68.17543,6.559682,lentil
12,58,23,21.746,63.39503,6.765091,lentil
18,66,22,25.8799,67.55109,6.347379,lentil
26,66,22,18.06486,65.10344,6.300479,lentil
30,61,18,27.14911,67.02664,6.157783,lentil
39,78,15,21.35499,62.60136,5.925392,lentil
6,64,23,23.33565,67.40461,7.065264,lentil
38,60,20,29.84823,60.63873,7.491217,lentil
0,74,17,23.33376,64.50516,7.240988,lentil
10,78,18,18.54142,62.70638,6.296977,lentil
6,72,15,22.99452,66.70897,7.670178,lentil
11,74,17,21.36384,69.92376,6.633865,lentil
28,67,21,21.79793,63.73086,6.250994,lentil
31,60,24,25.40474,65.85675,7.722336,lentil
10,75,17,18.43966,68.05395,7.732195,lentil
28,70,21,25.39038,60.49897,7.437374,lentil
12,67,23,25.62896,63.1491,6.58502,lentil
5,65,19,18.28072,68.10365,6.978362,lentil
27,80,24,28.42063,61.77336,7.815211,lentil
33,77,15,23.89736,66.32102,7.802212,lentil
6,68,18,24.38872,62.50453,6.711341,lentil
14,59,22,23.82724,67.89815,6.766607,lentil
19,79,19,20.06004,67.76253,6.677263,lentil
13,64,20,19.13458,62.57527,6.590571,lentil
36,65,16,25.7127,64.11233,7.692014,lentil
30,79,22,18.28766,69.48515,6.254217,lentil
19,72,15,28.83601,69.76113,6.89076,lentil
3,69,23,28.67409,63.18833,7.299361,lentil
26,56,22,23.05276,60.42479,7.011121,lentil
37,71,16,26.28664,68.51967,7.324863,lentil
14,69,19,20.95628,63.68129,7.239455,lentil
2,75,22,23.89272,61.78779,6.658605,lentil
7,73,25,27.52186,63.13215,7.288057,lentil
13,74,25,24.12193,61.09534,6.461619,lentil
10,79,20,24.98287,66.89541,6.379881,lentil
38,77,22,28.23483,69.316,6.313284,lentil
7,63,24,19.55751,64.45268,6.818681,lentil
16,65,16,18.13028,62.45852,6.078724,lentil
14,76,20,29.05941,62.10652,7.042475,lentil
40,79,17,21.12696,63.18739,6.403684,lentil
22,55,16,23.79372,68.03209,6.516318,lentil
3,78,18,20.21368,68.65258,6.88713,lentil
24,61,17,22.63714,65.44545,6.233269,lentil
13,61,22,19.44084,63.27771,7.728832,lentil
0,69,21,25.86928,61.88321,7.072923,lentil
6,77,20,25.78746,60.28163,6.058306,lentil
13,61,24,18.29784,69.68976,7.62991,lentil
31,58,15,28.31887,60.19461,6.167855,lentil
6,59,21,26.58973,66.14008,6.139216,lentil
12,66,20,27.41435,63.41786,7.336117,lentil
32,79,22,27.60195,63.46171,5.916454,lentil
4,80,16,29.19586,68.01966,7.441977,lentil
22,68,16,27.70497,63.20915,7.746724,lentil
40,61,22,20.94982,65.81088,7.002216,lentil
32,78,22,23.97081,62.35558,7.007038,lentil
22,67,22,29.03018,64.49167,7.475927,lentil
28,58,25,27.48186,62.04815,6.86164,lentil
23,75,17,24.87426,64.00214,7.198076,lentil
34,65,19,23.43975,63.22012,5.942392,lentil
9,60,21,29.94414,67.31323,7.52178,lentil
26,68,24,28.0485,64.07692,7.504931,lentil
22,60,18,19.59221,61.28633,6.74398,lentil
0,67,22,29.82112,69.40732,6.593798,lentil
32,56,18,20.04677,65.84395,7.135252,lentil
14,74,15,27.9999,65.57653,6.493037,lentil
18,57,21,27.3766,63.93928,6.155916,lentil
39,70,15,20.76775,63.90164,6.366356,lentil
29,71,18,22.175,62.13874,6.410441,lentil
2,79,15,21.53578,65.47228,7.505284,lentil
1,67,21,27.52135,60.53658,6.551578,lentil
33,59,19,23.19305,62.74711,7.641024,lentil
4,61,21,24.84064,60.09117,6.750205,lentil
10,70,19,24.84918,68.98088,7.272428,lentil
16,65,19,27.61205,69.29786,7.04316,lentil
28,69,16,29.77013,66.29327,6.547362,lentil
17,74,17,26.03027,69.55863,7.393211,lentil
28,79,16,24.70626,60.26854,6.052185,lentil
27,61,15,25.26533,67.10005,6.958055,lentil
36,67,20,20.39078,60.47529,6.924042,lentil
39,65,23,25.4346,69.12613,7.685959,lentil
2,78,23,21.31852,66.43935,7.320515,lentil
3,63,16,24.38042,61.18458,6.868882,lentil
9,77,17,21.65846,63.58337,6.280726,lentil
14,67,25,25.28711,60.85994,7.241152,lentil
12,71,19,24.9108,60.71367,7.142611,lentil
8,58,17,28.75273,69.1564,7.28605,lentil
71,54,16,22.6136,63.69071,5.749914,maize
83,45,21,18.83344,58.75082,5.716223,maize
74,39,23,22.62651,65.77473,6.780736,maize
66,53,19,23.09348,60.11594,6.03355,maize
75,53,18,20.689,59.43753,6.864794,maize
83,58,23,19.74213,59.66263,6.381202,maize
69,51,23,22.21738,72.85463,6.801639,maize
72,60,25,18.52511,69.02762,5.773455,maize
81,49,20,18.04186,60.61494,5.513698,maize
78,58,15,25.00933,67.81657,6.528631,maize
74,48,17,21.63163,60.27766,6.430616,maize
84,44,21,21.86927,61.91045,5.85044,maize
79,45,20,23.80546,59.24538,5.715209,maize
63,43,17,19.2889,65.47051,6.807488,maize
66,54,21,25.19009,60.20017,5.919046,maize
90,49,21,24.84017,68.35846,6.472523,maize
88,38,15,25.0824,65.92196,6.455117,maize
94,39,18,23.89115,57.48776,5.893093,maize
79,59,17,20.38,63.7385,6.644205,maize
74,43,23,25.95263,61.89082,6.325235,maize
71,35,24,22.27374,59.52193,5.826427,maize
87,60,23,20.27317,63.91282,6.439072,maize
76,44,17,20.41683,62.55425,5.855442,maize
61,44,17,26.10018,71.57477,6.931757,maize
90,52,25,25.97482,69.36386,6.822587,maize
60,38,17,18.41933,64.2358,6.474477,maize
60,44,23,24.79471,70.04557,5.72258,maize
98,44,21,25.77175,74.08911,6.524478,maize
64,35,23,23.02038,61.89472,5.680361,maize
74,55,19,18.05034,62.89367,6.288868,maize
67,35,22,23.30547,63.24648,6.385684,maize
76,57,18,18.98027,74.52601,6.092726,maize
99,39,18,19.20129,68.30579,6.112751,maize
66,44,20,19.07815,69.02299,6.740001,maize
86,37,16,20.51717,59.21235,5.561511,maize
86,55,21,21.54156,59.64024,6.803932,maize
80,43,16,23.55882,71.59351,6.657965,maize
60,57,24,18.66116,61.55327,6.121294,maize
87,48,25,18.65397,61.3788,6.65673,maize
75,56,18,19.39852,62.35751,5.696205,maize
68,40,19,26.14384,66.2057,6.655426,maize
61,60,15,24.87503,68.74248,6.265564,maize
77,58,19,22.8056,56.50769,5.79165,maize
89,60,19,25.19192,66.69029,5.913665,maize
77,36,23,24.71418,56.73426,6.648725,maize
73,45,21,24.60532,73.58869,6.636803,maize
94,50,19,23.30355,73.62548,5.873242,maize
99,36,20,20.57982,65.34584,6.671086,maize
61,41,17,25.14206,65.26185,6.021902,maize
63,58,22,18.25405,55.2822,6.204748,maize
71,60,22,26.0747,59.37148,6.204802,maize
98,35,18,23.79746,74.82914,6.252798,maize
81,45,23,19.32666,68.03449,6.19236,maize
65,60,22,25.36768,72.52055,6.606984,maize
100,48,16,25.71896,67.22191,5.549902,maize
83,57,19,25.73044,70.74739,6.877869,maize
92,60,23,18.66747,71.51647,5.721667,maize
87,54,20,25.61707,63.47118,6.576418,maize
61,38,20,18.47891,62.69504,5.970458,maize
71,52,18,25.10787,55.97733,5.79077,maize
74,56,22,18.28362,66.65953,6.829199,maize
60,54,19,18.74827,62.49878,6.41782,maize
63,35,16,22.02721,65.3555,6.272418,maize
78,37,22,25.34217,63.31802,6.330554,maize
70,47,17,24.61291,70.41624,6.600827,maize
74,58,18,20.03728,56.35607,6.727303,maize
70,44,19,23.31689,73.45415,5.852607,maize
99,38,21,22.88331,71.59722,6.352472,maize
96,46,22,20.58314,69.00129,6.499936,maize
67,51,24,23.50298,61.32026,5.584171,maize
99,50,15,18.1471,71.09445,5.573286,maize
84,57,25,22.53511,67.99257,6.48904,maize
63,42,21,23.26238,72.33126,5.798424,maize
68,41,16,21.77689,57.80841,6.158831,maize
93,41,17,25.62172,66.50415,6.047907,maize
60,46,22,24.89365,65.61419,6.625404,maize
92,44,16,18.87751,65.76816,6.082974,maize
76,39,24,24.25475,55.6471,6.995844,maize
73,58,21,19.97216,57.68273,6.596061,maize
76,51,18,26.16986,71.96247,6.24704,maize
77,57,21,24.93216,73.80435,6.550564,maize
89,60,17,25.37549,57.21026,5.983953,maize
63,43,19,18.51817,55.53128,6.641906,maize
94,54,17,23.39128,61.74427,5.871648,maize
79,51,16,25.33798,68.49836,6.586245,maize
78,48,22,23.08975,63.1046,5.588651,maize
95,38,22,19.84939,61.245,5.730617,maize
75,49,15,21.53574,71.50906,5.918264,maize
90,57,24,18.92852,72.80086,6.15886,maize
86,36,24,26.54986,72.89187,5.787268,maize
61,59,17,23.33845,59.24581,6.474443,maize
96,54,22,25.70197,61.3345,6.960358,maize
67,60,25,24.92162,66.78627,5.750255,maize
87,35,25,21.44527,63.16216,6.178056,maize
99,56,17,24.10859,73.13112,6.23433,maize
62,48,20,21.70181,60.47471,6.708447,maize
62,52,16,22.27527,58.84016,6.967058,maize
91,55,15,18.093,72.61024,6.376651,maize
77,52,17,24.86375,65.742,5.7148,maize
76,48,18,19.29563,69.63481,5.775978,maize
24,128,196,22.75089,90.69489,5.521467,apple
30,137,200,22.9143,90.70476,5.603413,apple
25,143,200,23.80436,92.80442,6.024249,apple
28,123,202,22.76643,92.12439,6.442289,apple
2,123,205,22.36629,90.78572,5.739652,apple
25,143,198,22.81213,91.51862,6.027314,apple
3,141,197,21.98142,91.12719,6.142803,apple
18,125,204,22.35548,94.47812,6.046674,apple
9,137,200,21.12152,90.68788,5.636687,apple
29,140,195,23.64083,90.95258,5.560521,apple
27,120,200,21.45279,90.74532,6.110219,apple
33,143,204,21.13161,91.9577,5.814435,apple
10,136,204,21.19852,92.15595,6.276199,apple
32,141,203,21.25941,92.84416,5.821348,apple
28,136,200,23.06204,92.39544,6.245859,apple
38,135,203,23.76122,93.66164,5.965551,apple
40,120,197,23.80594,92.48879,5.889481,apple
33,121,203,22.45697,94.76285,5.605934,apple
2,143,196,22.71271,90.45262,5.669489,apple
40,144,196,22.71751,92.2548,5.987263,apple
30,143,199,23.76882,90.5981,5.798351,apple
23,138,195,22.49095,91.70293,5.795986,apple
18,125,203,22.44308,91.59234,6.160267,apple
35,131,203,22.42776,93.91722,5.893491,apple
31,130,198,21.8013,92.73447,5.554824,apple
27,139,205,22.48403,93.40819,5.77218,apple
37,126,196,23.59997,90.97598,5.596449,apple
13,144,197,22.92157,94.89613,6.280223,apple
35,145,195,22.03912,94.58076,6.23195,apple
35,142,203,21.17089,90.2373,5.895319,apple
30,127,204,22.5005,92.45878,6.126437,apple
25,132,198,22.31944,90.85174,5.732758,apple
10,125,196,22.31254,90.03577,5.730557,apple
31,137,196,22.14464,93.82567,6.400321,apple
20,139,202,23.50201,92.21084,5.669991,apple
0,145,205,21.22503,90.09878,5.520783,apple
29,145,205,22.81228,92.12992,6.212303,apple
10,140,197,22.16939,90.27186,6.229499,apple
7,144,195,22.96388,93.58066,5.856481,apple
12,129,205,22.36238,91.15762,6.119432,apple
7,141,195,23.88125,93.45068,5.514253,apple
2,131,199,22.47421,91.2276,6.01737,apple
29,139,205,23.64142,93.74461,6.155939,apple
26,126,195,21.41364,92.99125,5.878569,apple
22,144,196,21.91191,91.68748,6.499227,apple
13,126,204,23.10943,92.79631,6.38318,apple
8,120,201,21.18667,91.13436,6.321152,apple
14,139,197,21.72485,92.83976,6.05653,apple
11,143,197,22.98459,93.32045,5.875719,apple
6,124,200,22.98208,93.84505,5.971332,apple
28,130,196,22.13451,94.67696,6.062356,apple
33,138,198,22.29423,90.69034,6.222391,apple
27,138,201,23.66682,93.90191,5.952368,apple
29,132,204,23.08951,90.22507,6.096753,apple
35,128,205,21.07273,93.56586,6.041054,apple
33,134,205,21.03653,94.3392,6.085519,apple
2,120,203,23.12653,94.71203,5.893493,apple
26,121,201,22.19109,90.02575,6.162034,apple
35,138,200,21.1991,90.80819,5.671306,apple
6,144,198,21.11479,90.31529,5.559364,apple
29,138,197,22.19055,92.43764,5.830892,apple
16,143,197,22.61712,93.51978,5.904026,apple
15,133,199,23.99686,91.61002,5.824779,apple
9,143,197,23.75033,92.8816,5.570021,apple
32,137,204,22.86007,93.1286,5.824152,apple
32,145,203,23.83054,90.84422,6.406819,apple
40,136,202,22.85267,94.57646,5.935336,apple
21,135,198,23.86087,94.92048,5.765015,apple
21,137,196,23.61192,91.70294,5.812782,apple
0,123,205,22.02775,92.96129,5.790993,apple
0,133,200,23.67288,90.49356,5.708419,apple
37,137,199,22.63946,90.18452,5.697946,apple
17,136,196,23.87192,90.49939,5.882156,apple
2,129,201,22.78234,94.36804,5.682344,apple
7,144,197,23.8494,94.34815,6.133221,apple
14,128,205,22.60801,94.58901,6.22629,apple
19,122,202,23.34467,90.37981,5.811975,apple
10,141,201,22.12659,90.97818,6.386021,apple
16,143,204,23.71475,91.53331,5.631333,apple
9,139,199,23.25231,94.54128,5.867421,apple
1,124,199,23.71059,93.27392,5.658474,apple
20,129,201,23.41045,91.69913,5.587906,apple
1,135,203,22.77857,92.70124,5.624203,apple
13,121,196,22.20701,93.50574,6.443383,apple
29,121,196,22.84853,94.3213,6.079497,apple
24,142,202,22.5378,91.48136,5.71082,apple
14,140,197,23.35225,90.90055,6.071255,apple
5,144,205,21.42177,92.62665,6.184923,apple
29,144,204,22.43325,92.48668,5.800449,apple
15,123,204,22.52709,92.5478,6.365973,apple
2,140,197,22.6978,92.82223,5.534567,apple
29,128,198,22.44075,92.70785,5.685062,apple
5,136,195,22.35629,91.9236,6.264203,apple
28,123,198,23.4626,91.45665,5.682751,apple
34,140,198,21.70417,93.44006,5.751707,apple
26,122,202,22.44517,94.73764,5.617227,apple
31,121,201,23.15791,90.34397,5.731535,apple
36,144,196,23.65168,94.50529,6.496934,apple
36,140,198,23.34386,91.47685,6.281884,apple
30,122,197,21.37785,92.72044,5.573241,apple
3,49,18,27.91095,64.70931,3.692864,mothbeans
8,60,18,31.2163,46.01868,3.808429,mothbeans
35,38,19,25.32689,63.1818,9.112772,mothbeans
4,46,15,31.01275,62.40393,3.504752,mothbeans
40,55,18,30.38258,40.59261,7.115994,mothbeans
29,41,21,31.49398,62.84917,8.869797,mothbeans
21,38,20,27.10508,63.56791,5.79429,mothbeans
29,57,20,25.60973,50.73301,5.877075,mothbeans
23,35,18,26.49083,47.36535,5.414493,mothbeans
17,58,25,31.12897,43.58789,6.455593,mothbeans
11,53,24,28.52397,55.77264,7.393899,mothbeans
16,51,21,31.01964,49.97675,3.532009,mothbeans
34,54,24,31.21193,41.55934,5.026004,mothbeans
27,43,23,31.70447,56.8542,5.875334,mothbeans
24,45,19,26.85852,48.82464,5.952385,mothbeans
33,47,17,24.86804,48.27532,8.621514,mothbeans
